Region,Farm,Codfrm,Date,Latitude,Longitude,Elevation,Province,County,District,Start time,Temperature,Wind,Farm area,Farm area unit,Coffee Area,Coffee area unit,Rain,Rain intensity,Coffee flowering,Ground flowers,Canopy flowers,Shade type,Sky,Notes
Los Santos,Ana Pretiz,ANAPRE,2021-05-18T00:00:00Z,9.64671167,-83.95332833,1756,San José,Dota,Copey,1899-12-31T10:07:00Z,23.4,1.8,13,mzn,13,mzn,0,0,1,4,0,1,40,NA
Los Santos,Arturo Bonilla,ARTBON,2021-04-06T00:00:00Z,9.6346517,-83.9677833,1727,San José,Dota,Santa María,1899-12-31T10:45:00Z,25.6,0,NA,NA,NA,NA,0,0,1,4,1,2,30,NA
Los Santos,Coopetarrazú ( Finca San Francisco),COOTA1,2021-03-31T00:00:00Z,9.6085485,-84.0203304,1428,San José,Tarrazú,San Lorenzo,1899-12-31T08:30:00Z,26.4,0.6,3.5,mzn,3.5,mzn,0,0,3,2,0,1,45,Propiedad colindante con montaña
Los Santos,Coopetarrazú R.L (Finca Central),COOTA2,2021-03-29T00:00:00Z,9.662904,-84.03372,1497,San José,Tarrazú,San Marcos,1899-12-31T11:10:00Z,28.6,1.8,10.2,ha,2.5,ha,0,0,3,0,0,1,95,NA
Los Santos,Diego Calderón,DIECAL,2021-03-29T00:00:00Z,9.6578989,-84.0524975,1364,San José,Tarrazú,San Lorenzo,1899-12-31T15:20:00Z,26.4,1.1,2,mzn,2,mzn,0,0,3,1,0,2,80,En propiedad cercana hay cultivo de aguacate
Los Santos,Eliécer Martínez,ELIMAR,2021-03-31T00:00:00Z,9.6937526,-84.0020916,1722,San José,Tarrazú,San Marcos,1899-12-31T12:25:00Z,23.3,0.8,NA,NA,NA,NA,0,0,2,1,0,2,60,NA
Los Santos,Emilio Marín Piedra,EMIMAR,2021-04-02T00:00:00Z,9.746683,-84.046385,1542,San José,Desamparados,Frailes,1899-12-31T09:56:00Z,22.4,2.4,3,ha,3,ha,0,0,2,1,1,2,60,NA
Los Santos,Emmanuel Solís 1,EMSOL1,2021-04-06T00:00:00Z,9.627571,-83.9564364,2046,San José,Dota,Santa María,1899-12-31T08:15:00Z,20.1,0,20,ha,20,ha,0,0,2,4,0,2,60,NA
Los Santos,Emmanuel Solís 2,EMSOL2,2021-03-30T00:00:00Z,9.6605847,-83.974035,1588,San José,Dota,Santa María,1899-12-31T08:31:00Z,25.2,3.3,3,ha,3,ha,0,0,2,0,1,2,65,Propiedad colindante con montaña
Los Santos,Felipe Calderón Zuñiga,FELCAL,2021-03-29T00:00:00Z,9.65622019,-84.0534483,1430,San José,Tarrazú,San Lorenzo,1899-12-31T13:12:00Z,28.3,1.2,0.8,ha,0.8,ha,0,0,3,0,0,2,65,En propiedad cercana hay cultivo de aguacate
Los Santos,Fernando Badilla,FERBON,2021-05-18T00:00:00Z,9.65003,-83.9514683,1698,San José,Dota,Copey,1899-12-31T09:11:00Z,21.2,0.8,5,ha,5,ha,0,0,1,2,3,2,35,NA
Los Santos,Francisco Monge Solís,FRAMON,2021-03-30T00:00:00Z,9.7545916,-84.0768107,1506,San José,Desamparados,Frailes,1899-12-31T14:43:00Z,28.7,1.7,NA,NA,NA,NA,0,0,3,1,0,2,35,NA
Los Santos,Freddy Garro,FREGAR,2021-04-02T00:00:00Z,9.75027,-84.051921,1584,San José,Desamparados,Frailes,1899-12-31T08:37:00Z,18.8,2.6,1,mzn,1,mzn,1,1,2,4,0,1,20,NA
Los Santos,Gabriel Ureña,GABURE,2021-04-23T00:00:00Z,9.65142167,-83.94701667,1852,San José,Dota,Santa María,1899-12-31T08:37:00Z,19,1.8,2.5,mzn,2.5,mzn,0,0,1,3,4,1,95,NA
Los Santos,Gerardo Fallas,GERFAL,2021-04-05T00:00:00Z,9.633098,-83.9951,1903,San José,Tarrazú,San Marcos,1899-12-31T13:28:00Z,24.7,2,4,mzn,4,mzn,0,0,1,1,0,2,40,NA
Los Santos,Heiner Marín,HEIMAR,2021-04-02T00:00:00Z,9.7479916,-84.04654,1539,San José,Desamparados,Frailes,1899-12-31T09:23:00Z,19.4,1.8,NA,NA,NA,NA,1,1,1,1,0,2,5,NA
Los Santos,Iván Gutiérrez,IVAGUT,2021-03-31T00:00:00Z,9.639308,-83.997693,1770,San José,Tarrazú,San Marcos,1899-12-31T14:30:00Z,25.6,1.1,11,mzn,11,mzn,0,0,2,0,0,1,40,NA
Los Santos,Jaime Solis Umaña,JAISOL,2021-03-31T00:00:00Z,9.6757783,-83.99934,1624,San José,Tarrazú,San Marcos,1899-12-31T10:30:00Z,27.4,1.3,18,mzn,4,mzn,0,0,3,1,2,2,45,Producción de aguacate dentro de la finca
Los Santos,Joaquín Solís,JOASOL,2021-04-06T00:00:00Z,9.629235,-83.964393,1880,San José,Dota,Santa María,1899-12-31T09:23:00Z,25.2,0,60,ha,60,ha,0,0,2,1,1,2,70,NA
Los Santos,José Mora,JOSMOR,2021-04-06T00:00:00Z,9.633778,-83.945283,2117,San José,Dota,Santa María,1899-12-31T11:58:00Z,19.6,2.4,6,mzn,5,mzn,0,0,1,4,4,2,2,Bosque alrededor de la finca
Los Santos,Joselito Mora Mora,JOLMOR,2021-04-01T00:00:00Z,9.6790683,-84.0683983,1749,San José,Leon Cortes,San Isidro,1899-12-31T11:27:00Z,25.5,2.1,1,mzn,1,mzn,0,0,2,1,0,2,80,Finca produce aguacate simultaneamente y productor cuenta con dos colmenas en la propiedad
Los Santos,Laura Ureña,LAUURE,2021-05-18T00:00:00Z,9.65230167,-83.948541,1779,San José,Dota,Copey,1899-12-31T11:11:00Z,25.4,1.1,4,mzn,4,mzn,0,0,1,2,0,1,15,NA
Los Santos,Leo Valverde,LEOVAL,2021-04-23T00:00:00Z,9.61773833,-84.01792833,1523,San José,Tarrazú,San Lorenzo,1899-12-31T11:35:00Z,23.2,1.9,9,mzn,9,mzn,0,0,2,4,0,0,10,NA
Los Santos,Luis Gerardo Mora,LUIMOR,2021-04-01T00:00:00Z,9.645252,-84.02538,1399,San José,Tarrazú,San Lorenzo,1899-12-31T08:00:00Z,23.5,1.4,4,mzn,4,mzn,0,0,2,0,1,2,50,NA
Los Santos,Luis Roberto Ureña Haug,LUIURE,2021-03-30T00:00:00Z,9.6943517,-84.0506783,1742,San José,Leon Cortes,San Pablo,1899-12-31T11:50:00Z,23.7,0.8,3,mzn,3,mzn,1,1,3,0,1,1,25,NA
Los Santos,Marco Vinicio Retana,MARRET,2021-04-02T00:00:00Z,9.757665,-84.062096,1471,San José,Desamparados,Frailes,1899-12-31T07:49:00Z,19.6,0.9,0.8,ha,0.8,ha,0,0,1,2,4,2,40,NA
Los Santos,Mauricio Monge Solís,MAUMON,2021-03-30T00:00:00Z,9.7580739,-84.0851302,1361,San José,Desamparados,Frailes,1899-12-31T13:32:00Z,25.5,1.7,1,ha,1,ha,0,0,2,0,0,1,30,NA
Los Santos,Oscar Navarro,OSCNAV,2021-04-23T00:00:00Z,9.631315,-84.021575,1480,San José,Tarrazú,San Lorenzo,1899-12-31T13:31:00Z,23.4,0.9,2.3,ha,2.3,ha,0,0,1,1,0,2,0,"Al momento de la colecta, presencia de neblina en la zona"
Los Santos,Otoniel Picado,OTOPIC,2021-04-23T00:00:00Z,9.646235,-84.011563,1432,San José,Tarrazú,San Marcos,1899-12-31T10:37:00Z,25.4,0.8,1,mzn,1,mzn,0,0,1,0,0,1,80,NA
Los Santos,Rafael Naranjo Abarca,RAFNAR,2021-04-23T00:00:00Z,9.63114167,-84.01707,1556,San José,Tarrazú,San Lorenzo,1899-12-31T12:40:00Z,26.6,1.3,11,mzn,8,mzn,0,0,1,1,0,1,5,NA
Los Santos,Walter Blanco Corella 2,WALBLA,2021-03-30T00:00:00Z,9.6443294,-84.0680504,1641,San José,Tarrazú,San Lorenzo,1899-12-31T10:08:00Z,23.6,0.8,9,mzn,9,mzn,0,0,2,1,1,1,50,NA
Los Santos,Wilberth Gamboa Garro,WILGAM,2021-04-01T00:00:00Z,9.652055,-84.031784,1417,San José,Tarrazú,San Marcos,1899-12-31T09:25:00Z,29.5,1.5,2,ha,2,ha,0,0,2,0,2,2,75,NA
Los Santos,Yohan Mora,YOHMOR,2021-03-31T00:00:00Z,9.6796883,-84.005025,1607,San José,Tarrazú,San Marcos,1899-12-31T11:20:00Z,29.5,1.8,2,mzn,2,mzn,0,0,2,1,1,2,20,Plantaciones de aguacate en propiedades cercanas con atomizo reciente / Colmena trigonas en finca
Pérez Zeledón,Aurea Torres,AURTOR,2021-04-01T00:00:00Z,9.51434667,-83.667676,1506,San José,Pérez Zeledón,Rivas,1899-12-31T09:55:00Z,27.6,2.6,4,ha,2,ha,0,0,2,2,3,0,50,NA
Pérez Zeledón,Carlos Hernández,CARHER,2021-03-31T00:00:00Z,9.43384,-83.742755,1317,San José,Pérez Zeledón,Páramo,1899-12-31T11:35:00Z,26.4,0.7,9,ha,7,ha,0,0,1,3,0,1,5,NA
Pérez Zeledón,Danilo Cordero Retana,DANCOR,2021-03-30T00:00:00Z,9.22993167,-83.686553,1060,San José,Pérez Zeledón,Daniel Flores,1899-12-31T09:10:00Z,24,0.7,5,ha,5,ha,0,0,2,0,0,1,25,En la propiedad hay colonia de mariolas.
Pérez Zeledón,Eladio Montero,ELAMON,2021-03-31T00:00:00Z,9.47828,-83.77441167,1172,San José,Pérez Zeledón,Páramo,1899-12-31T09:00:00Z,27.8,1.7,26,ha,26,ha,0,0,3,0,0,1,50,Colmena de mariolas en la propiedad
Pérez Zeledón,Elvis Talavera,ELVTAL,2021-03-30T00:00:00Z,9.35622333,-83.7671183,1172,San José,Pérez Zeledón,San Isidro Del General,1899-12-31T12:11:00Z,27.9,0.7,100,mzn,80,mzn,0,0,2,1,0,2,80,NA
Pérez Zeledón,Jaime Rojas,JAIROJ,2021-03-31T00:00:00Z,9.398745,-83.79326,1228,San José,Pérez Zeledón,Rio Nuevo,1899-12-31T13:27:00Z,26.7,1.5,4,ha,4,ha,0,0,2,3,0,2,40,NA
Pérez Zeledón,José Gabriel Ureña,JOSURE,2021-03-29T00:00:00Z,9.19154,-83.611275,775,San José,Pérez Zeledón,Platanares,1899-12-31T10:45:00Z,30.7,1.1,4,ha,4,ha,0,0,1,0,1,2,30,NA
Pérez Zeledón,Luis Herrera,LUIHER,2021-03-29T00:00:00Z,9.20636167,-83.54410333,661,San José,Pérez Zeledón,Pejibaye,1899-12-31T12:15:00Z,32.3,1.2,4,ha,4,ha,0,0,2,0,0,2,50,NA
Pérez Zeledón,Luis Mario Bonilla,LUIBON,2021-03-31T00:00:00Z,9.49278167,-83.76124167,1393,San José,Pérez Zeledón,Páramo,1899-12-31T10:20:00Z,23.8,1.3,0.25,mzn,0.25,mzn,0,0,3,0,0,2,5,NA
Pérez Zeledón,Luis Torres 1,LUITO1,2021-04-01T00:00:00Z,9.499965,-83.661975,1425,San José,Pérez Zeledón,Rivas,1899-12-31T07:45:00Z,23.4,2.5,2,ha,2,ha,0,0,3,2,3,2,50,NA
Pérez Zeledón,Luis Torres 2,LUITO2,2021-04-01T00:00:00Z,9.50071667,-83.6585816,1501,San José,Pérez Zeledón,Rivas,1899-12-31T08:58:00Z,25.1,0.7,6,ha,6,ha,0,0,3,0,0,2,65,NA
Pérez Zeledón,Michael Ceciliano,MICCEC,2021-04-01T00:00:00Z,9.21816667,-83.6758183,1042,San José,Pérez Zeledón,Platanares,1899-12-31T13:05:00Z,26.2,1.6,5,ha,5,ha,0,0,2,2,0,2,20,NA
Pérez Zeledón,Reinier Fallas,REIFAL,2021-03-31T00:00:00Z,9.47640333,-83.79265,1004,San José,Pérez Zeledón,Páramo,1899-12-31T08:08:00Z,27.4,0.1,4,ha,4,ha,0,0,3,3,0,1,90,Finca rodeada de laderas con viento calmo
Pérez Zeledón,Víctor Hugo Sánchez,VICSAN,2021-03-30T00:00:00Z,9.232475,-83.68500167,932,San José,Pérez Zeledón,Daniel Flores,1899-12-31T07:44:00Z,25.4,0.9,3,mzn,3,mzn,0,0,2,0,0,2,60,NA
Pérez Zeledón,Allan Quirós,ALLQUI,2021-03-29T00:00:00Z,9.21380667,-83.57843,700,San José,Pérez Zeledón,Pejibaye,1899-12-31T13:17:00Z,32.4,2.3,7,ha,7,ha,0,0,1,0,0,1,50,En la propiedad se observa nido de abejaa.
Pérez Zeledón,Eduardo Corrales,EDUCOR,2021-03-25T00:00:00Z,9.29165333,-83.56731,675,San José,Pérez Zeledón,Cajón,1899-12-31T09:55:00Z,26.2,1,44447,mzn,2.5,mzn,0,0,1,0,0,1,90,Cultivos pejibayes en los alrededores. Posible uso de agroquímicos.
Pérez Zeledón,Gabriel Calderón,GABCAL,2021-03-23T00:00:00Z,9.292225,-83.51470833,693,San José,Pérez Zeledón,San Pedro,1899-12-31T09:20:00Z,27.8,0.6,35,ha,3,ha,0,0,1,0,0,2,NA,NA
Pérez Zeledón,Gerardo Corrales,GERCOR,2021-03-23T00:00:00Z,9.31906863,-83.57891,873,San José,Pérez Zeledón,Cajón,1899-12-31T12:08:00Z,26.2,0.8,25,ha,14,ha,1,1,2,1,0,2,NA,Indicios de aplicación de herbicidas en la finca.
Pérez Zeledón,German Calderón,GERCAL,2021-03-23T00:00:00Z,9.30985,-83.58120333,790,San José,Pérez Zeledón,Cajón,1899-12-31T11:15:00Z,28.9,0.9,3,ha,1,ha,0,0,2,0,0,2,NA,NA
Pérez Zeledón,Herberth Von Schroter,HERVON,2021-03-23T00:00:00Z,9.282155,-83.50505167,691,San José,Pérez Zeledón,San Pedro,1899-12-31T08:07:00Z,24.8,0.6,35,ha,15,ha,0,0,2,1,0,1,NA,NA
Pérez Zeledón,Mario Piedra,MARPIE,2021-03-24T00:00:00Z,9.29442,-83.47321333,1003,Puntarenas,Buenos Aires,Volcan,1899-12-31T09:50:00Z,26.6,0.6,100,ha,60,ha,0,0,2,0,1,2,NA,NA
Pérez Zeledón,Miguel Chacón,MIGCHA,2021-03-24T00:00:00Z,9.29306948,-83.47847155,980,San José,Pérez Zeledón,San Pedro,1899-12-31T08:35:00Z,23.4,0.8,6,ha,3,ha,0,0,3,1,0,2,NA,En la finca hay colonias de apice y trigonas.
Pérez Zeledón,Ramiro Valverde,RAMVAL,2021-03-23T00:00:00Z,9.28873833,-83.52194333,728,San José,Pérez Zeledón,San Pedro,1899-12-31T10:03:00Z,30.4,1.5,33,ha,33,ha,0,0,2,2,0,2,NA,NA
Pérez Zeledón,Víctor Arias 1,VICAR1,2021-03-24T00:00:00Z,9.310065,-83.51575333,866,San José,Pérez Zeledón,San Pedro,1899-12-31T11:00:00Z,26.2,0.7,100,ha,60,ha,0,0,2,0,0,1,10,NA
Pérez Zeledón,Víctor Arias 2,VICAR2,2021-03-24T00:00:00Z,9.31480333,-83.50849333,1025,San José,Pérez Zeledón,San Pedro,1899-12-31T12:32:00Z,28.2,0.6,40,ha,40,ha,0,0,2,1,0,0,10,NA
Pérez Zeledón,Víctor Arias 3,VICAR3,2021-03-25T00:00:00Z,9.297065,-83.54352333,648,San José,Pérez Zeledón,San Pedro,1899-12-31T08:26:00Z,30.2,1.1,80,ha,80,ha,0,0,2,0,0,2,50,NA
Pérez Zeledón,Wilberth Acuña,WILACU,2021-03-25T00:00:00Z,9.38686,-83.676635,799,San José,Pérez Zeledón,Daniel Flores,1899-12-31T12:15:00Z,29.6,2,50,ha,20,ha,0,0,2,0,0,2,35,NA
Valle Central,Adrián Hernández,ADRHER,2021-04-06T00:00:00Z,10.04465,-84.1122833,1447,Heredia,Barva,San Pablo,1899-12-31T12:30:00Z,27.6,1.1,8,ha,8,ha,0,0,1,0,0,2,40,Finca Alto de Abra
Valle Central,Carlos Rojas,CARROJ,2021-04-19T00:00:00Z,9.98902833,-84.049625,1205,Heredia,Santo Domingo,San Miguel,1899-12-31T10:41:00Z,26.5,0.8,1,ha,1,ha,0,0,2,0,3,2,95,NA
Valle Central,Carlos Sánchez 1,CARSA1,2021-04-22T00:00:00Z,10.00064,-84.035503,1274,Heredia,Santo Domingo,Para,1899-12-31T09:58:00Z,20.7,1.2,23,ha,23,ha,1,1,1,2,0,2,0,NA
Valle Central,Carlos Sánchez 2,CARSA2,2021-04-22T00:00:00Z,10.01009167,-84.06791167,1283,Heredia,San Isidro,San Francisco,1899-12-31T11:20:00Z,24.4,2.2,20,ha,20,ha,1,1,1,1,1,2,50,NA
Valle Central,Diego Madriz,DIEMAD,2021-04-06T00:00:00Z,10.03383667,-84.127221,1238,Heredia,Barva,San Pedro,1899-12-31T08:09:00Z,25.8,1.4,5,ha,1.5,ha,0,0,1,2,3,2,90,"Cultiva café orgánico. Florea con mucha flor marchita, pero buena actividad de abejas"
Valle Central,Esquivel Volio 1,ESQVO1,2021-04-07T00:00:00Z,10.071048,-84.129038,1532,Heredia,Santa Barbara,Jesús,1899-12-31T09:06:00Z,23.4,0.8,180,mzn,180,mzn,0,0,2,1,0,0,20,Finca La Silvana
Valle Central,Esquivel Volio 2,ESQVO2,2021-04-07T00:00:00Z,10.07718,-84.1281867,1614,Heredia,Santa Barbara,Jesús,1899-12-31T09:56:00Z,24.9,1.1,180,mzn,180,mzn,0,0,1,1,0,0,50,Finca La Silvana
Valle Central,Esquivel Volio 3,ESQVO3,2021-04-07T00:00:00Z,10.07595833,-84.13362167,1613,Heredia,Santa Barbara,Jesús,1899-12-31T10:56:00Z,25.8,1.1,180,mzn,180,mzn,0,0,2,0,0,0,50,Finca La Silvana
Valle Central,Guararí  2,GUARA2,2021-04-21T00:00:00Z,10.082475,-84.158315,1485,Heredia,Santa Barbara,Santo Domingo,1899-12-31T01:42:00Z,23.8,2.1,140,mzn,140,mzn,0,0,2,1,1,0,20,NA
Valle Central,Guararí 1,GUARA1,2021-04-21T00:00:00Z,10.0874216,-84.1532683,1534,Heredia,Santa Barbara,Santo Domingo,1899-12-31T12:54:00Z,23.5,1.7,140,mzn,140,mzn,1,1,1,1,0,0,20,NA
Valle Central,Icafé Barva,ICABAR,2021-04-19T00:00:00Z,10.03478,-84.1352366,1184,Heredia,Barva,San Pedro,1899-12-31T12:37:00Z,26.3,0.9,8,ha,8,ha,0,0,1,0,0,0,5,NA
Valle Central,La Hilda 1,HILDA1,2021-04-20T00:00:00Z,10.0863183,-84.2363267,1168,Alajuela,Poas,San Pedro,1899-12-31T08:25:00Z,24.4,0.8,440,ha,440,ha,0,0,2,1,1,2,45,NA
Valle Central,La Hilda 2,HILDA2,2021-04-20T00:00:00Z,10.0942133,-84.2358016,1207,Alajuela,Poas,San Pedro,1899-12-31T09:54:00Z,26.7,1,440,ha,440,ha,0,0,3,2,0,1,30,Propietario tiene colmenas cerca del punto de muestreo
Valle Central,La Hilda 3,HILDA3,2021-04-21T00:00:00Z,10.10181167,-84.23038,1269,Alajuela,Poas,San Pedro,1899-12-31T08:32:00Z,22.2,0.9,440,ha,440,ha,0,0,2,2,0,0,60,Propietario tiene colmenas cerca del punto de muestreo
Valle Central,La Hilda 4,HILDA4,2021-04-21T00:00:00Z,10.109523,-84.225433,1439,Alajuela,Poas,San Pedro,1899-12-31T09:28:00Z,24.2,3,440,ha,440,ha,0,0,3,2,0,0,20,NA
Valle Central,Loma Bonita,LOMBON,2021-04-22T00:00:00Z,10.11070333,-84.1836133,1500,Alajuela,Alajuela,San Isidro,1899-12-31T07:55:00Z,20.3,2.7,47,mzn,47,mzn,1,1,2,0,0,0,35,NA
Valle Central,Luis Díaz 1,LUIDI1,2021-03-18T00:00:00Z,9.86666667,-84.35319667,1085,San José,Puriscal,Barbacoas,1899-12-31T08:00:00Z,22.2,1.2,2,mzn,2,mzn,0,0,1,1,4,2,NA,NA
Valle Central,Luis Díaz 2,LUIDI2,2021-03-26T00:00:00Z,9.86678167,-84.35346833,1093,San José,Puriscal,Barbacoas,1899-12-31T13:40:00Z,29.3,0.7,18,ha,18,ha,0,0,1,0,1,2,50,Propiedad tiene un nido de apice
Valle Central,María Elsa Ruiz 2,MARRU2,2021-04-05T00:00:00Z,10.042505,-84.11711,1390,Heredia,Barva,San José De La Montana,1899-12-31T11:20:00Z,25.2,2.5,2,ha,2,ha,0,0,2,2,3,2,80,NA
Valle Central,María Elsa Ruiz 3,MARRU3,2021-04-05T00:00:00Z,10.053185,-84.11192,1513,Heredia,Barva,San José De La Montana,1899-12-31T12:16:00Z,25.5,2.4,1.3,ha,1.3,ha,0,0,2,0,0,1,60,NA
Valle Central,Mario Barquero,MARBAR,2021-04-05T00:00:00Z,10.02714333,-84.1106,1285,Heredia,Barva,Santa Lucia,1899-12-31T09:22:00Z,23.5,1.6,22.5,ha,11.5,ha,0,0,2,2,1,2,50,Finca El Refugio
Valle Central,Monte Cristo 1,MONCR1,2021-04-21T00:00:00Z,10.09739167,-84.187655,1447,Alajuela,Alajuela,San Isidro,1899-12-31T10:55:00Z,24.2,1.2,100,mzn,100,mzn,0,0,2,1,0,0,20,NA
Valle Central,Monte Cristo 2,MONCR2,2021-04-21T00:00:00Z,10.1041383,-84.1862233,1462,Alajuela,Alajuela,San Isidro,1899-12-31T11:44:00Z,24.2,2.9,100,mzn,100,mzn,0,0,2,1,0,0,30,NA
Valle Central,Odilia Ruiz,ODIRUI,2021-04-06T00:00:00Z,10.04346,-84.11246,1439,Heredia,Barva,San Pablo,1899-12-31T10:36:00Z,25.7,1.4,6,ha,6,ha,0,0,2,3,4,2,100,NA
Valle Central,Olga Marta González,OLGGON,2021-04-19T00:00:00Z,9.99134167,-84.08892667,1153,Heredia,Santo Domingo,San Vicente,1899-12-31T09:23:00Z,26.7,2.2,2,ha,2,ha,0,0,2,1,0,0,95,NA
