Region,Farm,Codfrm,Date,Latitude,Longitude,Elevation,Collector,Order,Family,Tribe,Genus,Species,Codsp,Common name,Abundance,Report
Los Santos,Ana Pretiz,ANAPRE,2021-05-18T00:00:00Z,9.64671167,-83.95332833,1756,R. Montoya/ A.Zuñiga/M.Jimenez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",27,6
Los Santos,Ana Pretiz,ANAPRE,2021-05-18T00:00:00Z,9.64671167,-83.95332833,1756,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1,6
Los Santos,Ana Pretiz,ANAPRE,2021-05-18T00:00:00Z,9.64671167,-83.95332833,1756,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Scaptotrigona,subobscuripennis,SCASUB,"Soncuano negro, picúsaro",1,6
Los Santos,Ana Pretiz,ANAPRE,2021-05-18T00:00:00Z,9.64671167,-83.95332833,1756,R. Montoya/ A.Zuñiga/M.Jimenez,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",3,6
Los Santos,Ana Pretiz,ANAPRE,2021-05-18T00:00:00Z,9.64671167,-83.95332833,1756,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1,6
Los Santos,Arturo Bonilla,ARTBON,2021-04-06T00:00:00Z,9.6346517,-83.9677833,1727,M. Godinez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3,6
Los Santos,Arturo Bonilla,ARTBON,2021-04-06T00:00:00Z,9.6346517,-83.9677833,1727,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Scaptotrigona,subobscuripennis,SCASUB,"Soncuano negro, picúsaro",1,6
Los Santos,Arturo Bonilla,ARTBON,2021-04-06T00:00:00Z,9.6346517,-83.9677833,1727,A. Zuñiga/ M. Godinez,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",4,6
Los Santos,Arturo Bonilla,ARTBON,2021-04-06T00:00:00Z,9.6346517,-83.9677833,1727,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1,6
Los Santos,Coopetarrazú ( Finca San Francisco),COOTA1,2021-03-31T00:00:00Z,9.6085485,-84.0203304,1428,A. Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",4,6
Los Santos,Coopetarrazú ( Finca San Francisco),COOTA1,2021-03-31T00:00:00Z,9.6085485,-84.0203304,1428,B. Cordero,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1,5
Los Santos,Coopetarrazú ( Finca San Francisco),COOTA1,2021-03-31T00:00:00Z,9.6085485,-84.0203304,1428,A. Zuñiga,Hymenoptera,Apidae,Centridini,Epicharis,Unknown,EPISPP,Unknown,1,6
Los Santos,Coopetarrazú ( Finca San Francisco),COOTA1,2021-03-31T00:00:00Z,9.6085485,-84.0203304,1428,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Paratrigona,ornaticeps,PARORN,Limoncito,1,6
Los Santos,Coopetarrazú ( Finca San Francisco),COOTA1,2021-03-31T00:00:00Z,9.6085485,-84.0203304,1428,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",4,6
Los Santos,Coopetarrazú ( Finca San Francisco),COOTA1,2021-03-31T00:00:00Z,9.6085485,-84.0203304,1428,B. Cordero,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",2,5
Los Santos,Coopetarrazú ( Finca San Francisco),COOTA1,2021-03-31T00:00:00Z,9.6085485,-84.0203304,1428,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",2,6
Los Santos,Coopetarrazú R.L (Finca Central),COOTA2,2021-03-29T00:00:00Z,9.662904,-84.03372,1497,A. Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",12,5
Los Santos,Coopetarrazú R.L (Finca Central),COOTA2,2021-03-29T00:00:00Z,9.662904,-84.03372,1497,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",2,5
Los Santos,Diego Calderón,DIECAL,2021-03-29T00:00:00Z,9.6578989,-84.0524975,1364,A. Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3,5
Los Santos,Diego Calderón,DIECAL,2021-03-29T00:00:00Z,9.6578989,-84.0524975,1364,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",12,5
Los Santos,Eliécer Martínez,ELIMAR,2021-03-31T00:00:00Z,9.6937526,-84.0020916,1722,A. Zuñiga/ B. Cordero,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",5,6
Los Santos,Eliécer Martínez,ELIMAR,2021-03-31T00:00:00Z,9.6937526,-84.0020916,1722,A. Zuñiga/ B. Cordero,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",7,6
Los Santos,Eliécer Martínez,ELIMAR,2021-03-31T00:00:00Z,9.6937526,-84.0020916,1722,B. Cordero,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1,6
Los Santos,Emilio Marín Piedra,EMIMAR,2021-04-02T00:00:00Z,9.746683,-84.046385,1542,R. Montoya/ A.Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",4,5
Los Santos,Emilio Marín Piedra,EMIMAR,2021-04-02T00:00:00Z,9.746683,-84.046385,1542,R. Montoya/ A.Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",6,5
Los Santos,Emmanuel Solís 1,EMSOL1,2021-04-06T00:00:00Z,9.627571,-83.9564364,2046,A. Zuñiga/ M. Godinez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",24,6
