Family,Tribe,Genus,Species,Floral constancy,Social behavior,Nesting substrate,Distribution in Costa Rica_Moure Bee Catalogue,Distribution in Costa Rica_Discoverlife,Distribution in Costa Rica_Costa Rican National Museum
Halictidae,Halictini,Agapostemon,unknown,Polylectic,Solitary / Communal,Soil galeries,"Cartago, San José","All provinces, except Alajuela","All provinces, except Alajuela"
Apidae,Apini,Apis,mellifera,Polylectic,Social,Cavities,All provinces,All provinces,All provinces
Apidae,Bombini,Bombus,ephippiatus,Polylectic,Social / Primitive social,Soil cavities,No record was found,"Cartago, San José, Alajuela, Heredia, Puntarenas",All provinces
Apidae,Bombini,Bombus,melaleucus,Polylectic,Social / Primitive social,Soil cavities,No record was found,"Cartago, San José",All provinces
Apidae,Centridini,Centris,unknown,Polylectic,Solitary,Dead tree trunk,"Guanacaste, Heredia, San José",All provinces,All provinces
Apidae,Meliponini,Cephalotrigona,zexmeniae,Polylectic,Social,Cavities,"All provinces, except Limón",All provinces,"All provinces, except San José"
Apidae,Centridini,Epicharis,unknown,Polylectic,Solitary,Soil galeries,"San José, Puntarenas,Heredia, Guanacaste","San José, Puntarenas,Heredia, Guanacaste","All provinces, except Cartago"
Apidae,Centridini,Epicharis,maculata,Polylectic,Solitary,Soil galeries,San José,"San José, Puntarenas,Heredia, Guanacaste",San José
Apidae,Euglossini,Euglossa,unknown,Polylectic,Solitary / Communal,Cavities,"Heredia, Puntarenas, Limón, San José",All provinces,All provinces
Apidae,Euglossini,Euglossa,dissimula,Polylectic,Solitary / Communal,Cavities,No record was found,Heredia,Limón
Apidae,Euglossini,Eulaema,cingulata,Polylectic,Solitary / Communal,Soil cavities,No record was found,All provinces,"Cartago, Alajuela, Puntarenas, San José, Guanacaste"
Apidae,Exomalopsini,Exomalopsis,unknown,Polylectic,Semisocial / Communal,Soil galeries,All provinces,All provinces,"Cartago, Alajuela, Puntarenas, San José, Guanacaste"
Apidae,Meliponini,Geotrigona,lutzi,Polylectic,Social,Soil cavities,"All provinces, except Heredia",All provinces,No record was found
Halictidae,Halictini,Halictus,unknown,Polylectic,Social,Soil cavities,No record was found,"All provinces, except Limón","Alajuela, Guanacaste, San José, Puntarenas"
Halictidae,Halictini,Lasioglossum,unknown,Polylectic,Social,Soil cavities,No record was found,All provinces,All provinces
Apidae,Meliponini,Lestrimelitta,danuncia,Cleptobiotic,Social / Cleptobiotic,Cavities,Cartago,"Cartago, Limón, Puntarenas, Heredia, Guanacaste","All provinces, except San José"
Apidae,Meliponini,Melipona,costaricensis,Polylectic,Social,Cavities,"Guanacaste, Heredia, San José, Limón, Puntarenas","Cartago, Limón, Puntarenas, San José, Guanacaste","Puntarenas, Guanacaste, Heredia"
Apidae,Meliponini,Melipona,falax,Polylectic,Social,Cavities,"Cartago, San José, Limón","Cartago, San José, Limon, Alajuela, Guanacaste",No record was found
Apidae,Meliponini,Nannotrigona,melleria,Polylectic,Social,Cavities,"Heredia, Puntarenas","Limón, Puntarenas, Heredia, Guanacaste","All provinces, except Alajuela"
