farm_code,region,date,elevation_m,province,county,district,start_time,temp_c,wind,rain,rain_intensity,shade_type,sky,farm_area_ha,coffee_area_ha,coffee_flower,ground_flower,canopy_flower
1,Los Santos,2021-05-18T00:00:00Z,1756,San José,Dota,Copey,10:07:00 UTC,23.4,1.8,0,0,1,40,8.969999999999999,8.969999999999999,1,4,0
2,Los Santos,2021-04-06T00:00:00Z,1727,San José,Dota,Santa María,10:45:00 UTC,25.6,0,0,0,2,30,NA,NA,1,4,1
3,Los Santos,2021-03-31T00:00:00Z,1428,San José,Tarrazú,San Lorenzo,08:30:00 UTC,26.4,0.6,0,0,1,45,2.415,2.415,3,2,0
4,Los Santos,2021-03-29T00:00:00Z,1497,San José,Tarrazú,San Marcos,11:10:00 UTC,28.6,1.8,0,0,1,95,10.2,2.5,3,0,0
5,Los Santos,2021-03-29T00:00:00Z,1364,San José,Tarrazú,San Lorenzo,15:20:00 UTC,26.4,1.1,0,0,2,80,1.38,1.38,3,1,0
6,Los Santos,2021-03-31T00:00:00Z,1722,San José,Tarrazú,San Marcos,12:25:00 UTC,23.3,0.8,0,0,2,60,NA,NA,2,1,0
7,Los Santos,2021-04-02T00:00:00Z,1542,San José,Desamparados,Frailes,09:56:00 UTC,22.4,2.4,0,0,2,60,3,3,2,1,1
8,Los Santos,2021-04-06T00:00:00Z,2046,San José,Dota,Santa María,08:15:00 UTC,20.1,0,0,0,2,60,20,20,2,4,0
9,Los Santos,2021-03-30T00:00:00Z,1588,San José,Dota,Santa María,08:31:00 UTC,25.2,3.3,0,0,2,65,3,3,2,0,1
10,Los Santos,2021-03-29T00:00:00Z,1430,San José,Tarrazú,San Lorenzo,13:12:00 UTC,28.3,1.2,0,0,2,65,0.8,0.8,3,0,0
11,Los Santos,2021-05-18T00:00:00Z,1698,San José,Dota,Copey,09:11:00 UTC,21.2,0.8,0,0,2,35,5,5,1,2,3
12,Los Santos,2021-03-30T00:00:00Z,1506,San José,Desamparados,Frailes,14:43:00 UTC,28.7,1.7,0,0,2,35,NA,NA,3,1,0
13,Los Santos,2021-04-02T00:00:00Z,1584,San José,Desamparados,Frailes,08:37:00 UTC,18.8,2.6,1,1,1,20,0.69,0.69,2,4,0
14,Los Santos,2021-04-23T00:00:00Z,1852,San José,Dota,Santa María,08:37:00 UTC,19,1.8,0,0,1,95,1.7249999999999999,1.7249999999999999,1,3,4
