farm_code,region,date,elevation_m,order,family,tribe,genus,species,codsp,common_name,abundance
1,Los Santos,2021-05-18T00:00:00Z,1756,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",27
1,Los Santos,2021-05-18T00:00:00Z,1756,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1
1,Los Santos,2021-05-18T00:00:00Z,1756,Hymenoptera,Apidae,Meliponini,Scaptotrigona,subobscuripennis,SCASUB,"Soncuano negro, picúsaro",1
1,Los Santos,2021-05-18T00:00:00Z,1756,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",3
1,Los Santos,2021-05-18T00:00:00Z,1756,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1
2,Los Santos,2021-04-06T00:00:00Z,1727,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3
2,Los Santos,2021-04-06T00:00:00Z,1727,Hymenoptera,Apidae,Meliponini,Scaptotrigona,subobscuripennis,SCASUB,"Soncuano negro, picúsaro",1
2,Los Santos,2021-04-06T00:00:00Z,1727,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",4
2,Los Santos,2021-04-06T00:00:00Z,1727,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1
3,Los Santos,2021-03-31T00:00:00Z,1428,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",5
3,Los Santos,2021-03-31T00:00:00Z,1428,Hymenoptera,Apidae,Centridini,Epicharis,unknown,EPISPP,Unknown,1
3,Los Santos,2021-03-31T00:00:00Z,1428,Hymenoptera,Apidae,Meliponini,Paratrigona,ornaticeps,PARORN,Limoncito,1
3,Los Santos,2021-03-31T00:00:00Z,1428,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",4
3,Los Santos,2021-03-31T00:00:00Z,1428,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",4
4,Los Santos,2021-03-29T00:00:00Z,1497,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",12
4,Los Santos,2021-03-29T00:00:00Z,1497,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",2
5,Los Santos,2021-03-29T00:00:00Z,1364,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3
5,Los Santos,2021-03-29T00:00:00Z,1364,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",12
6,Los Santos,2021-03-31T00:00:00Z,1722,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",5
6,Los Santos,2021-03-31T00:00:00Z,1722,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",7
6,Los Santos,2021-03-31T00:00:00Z,1722,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1
7,Los Santos,2021-04-02T00:00:00Z,1542,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",4
7,Los Santos,2021-04-02T00:00:00Z,1542,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",6
8,Los Santos,2021-04-06T00:00:00Z,2046,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",24
8,Los Santos,2021-04-06T00:00:00Z,2046,Hymenoptera,Apidae,Bombini,Bombus,ephippiatus,BOMEPH,Chiquizá,1
8,Los Santos,2021-04-06T00:00:00Z,2046,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",8
8,Los Santos,2021-04-06T00:00:00Z,2046,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",6
8,Los Santos,2021-04-06T00:00:00Z,2046,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1
9,Los Santos,2021-03-30T00:00:00Z,1588,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1
9,Los Santos,2021-03-30T00:00:00Z,1588,Hymenoptera,Apidae,Meliponini,Melipona,costaricensis,MELCOS,"Jicote barcino, ocular",3
9,Los Santos,2021-03-30T00:00:00Z,1588,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",5
9,Los Santos,2021-03-30T00:00:00Z,1588,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",26
9,Los Santos,2021-03-30T00:00:00Z,1588,Hymenoptera,Apidae,Xylocopini,Xylocopa,unknown,XYLSPP,"Chiquizá, carpintera",1
10,Los Santos,2021-03-29T00:00:00Z,1430,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",2
10,Los Santos,2021-03-29T00:00:00Z,1430,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1
10,Los Santos,2021-03-29T00:00:00Z,1430,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1
11,Los Santos,2021-05-18T00:00:00Z,1698,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",15
11,Los Santos,2021-05-18T00:00:00Z,1698,Hymenoptera,Apidae,Bombini,Bombus,ephippiatus,BOMEPH,Chiquizá,1
