farm_code,region,date,elevation_m,province,county,district,start_time,temp_c,wind,rain,rain_intensity,shade_type,sky,farm_area_ha,coffee_area_ha,coffee_flower,ground_flower,canopy_flower,order,family,tribe,genus,species,codsp,common_name,abundance,floral_constancy,social_behavior,nesting_substrate,dist_Cartago_obs,dist_SanJosé_obs,dist_Heredia_obs,dist_Alajuela_obs,dist_Puntarenas_obs,dist_moure,dist_disc,dist_nat,fc_cleptobiotic,fc_cleptoparasite,fc_polylectic,sb_cleptoparasite,sb_primitive_social,sb_semisocial,sb_communal,sb_social,sb_cleptobiotic,sb_solitary,ns_cavities,ns_dead_tree_trunk,ns_exposed_nests,ns_soil_cavities,ns_soil_galleries,ns_termite_nest,ns_unknown,ns_wood_galleries,dist_Alajuela_moure,dist_Cartago_moure,dist_Guanacaste_moure,dist_Heredia_moure,dist_Limón_moure,dist_Puntarenas_moure,dist_SanJosé_moure,dist_Alajuela_disc,dist_Cartago_disc,dist_Guanacaste_disc,dist_Heredia_disc,dist_Limón_disc,dist_Puntarenas_disc,dist_SanJosé_disc,dist_Alajuela_nat,dist_Cartago_nat,dist_Guanacaste_nat,dist_Heredia_nat,dist_Limón_nat,dist_Puntarenas_nat,dist_SanJosé_nat,dist_Alajuela_all,dist_Cartago_all,dist_Guanacaste_all,dist_Heredia_all,dist_Limón_all,dist_Puntarenas_all,dist_SanJosé_all
1,Los Santos,2021-05-18T00:00:00Z,1756,San José,Dota,Copey,10:07:00 UTC,23.4,1.8,0,0,1,40,8.969999999999999,8.969999999999999,1,4,0,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,Los Santos,2021-05-18T00:00:00Z,1756,San José,Dota,Copey,10:07:00 UTC,23.4,1.8,0,0,1,40,8.969999999999999,8.969999999999999,1,4,0,Hymenoptera,Apidae,Meliponini,Scaptotrigona,subobscuripennis,SCASUB,"Soncuano negro, picúsaro",1,Polylectic,Social,cavities,0,1,0,0,0,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,Los Santos,2021-05-18T00:00:00Z,1756,San José,Dota,Copey,10:07:00 UTC,23.4,1.8,0,0,1,40,8.969999999999999,8.969999999999999,1,4,0,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",3,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,Los Santos,2021-05-18T00:00:00Z,1756,San José,Dota,Copey,10:07:00 UTC,23.4,1.8,0,0,1,40,8.969999999999999,8.969999999999999,1,4,0,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1,Polylectic,Social,soil cavities,1,1,1,1,1,"All provinces, except Heredia",All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Los Santos,2021-04-06T00:00:00Z,1727,San José,Dota,Santa María,10:45:00 UTC,25.6,0,0,0,2,30,NA,NA,1,4,1,Hymenoptera,Apidae,Meliponini,Scaptotrigona,subobscuripennis,SCASUB,"Soncuano negro, picúsaro",1,Polylectic,Social,cavities,0,1,0,0,0,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Los Santos,2021-04-06T00:00:00Z,1727,San José,Dota,Santa María,10:45:00 UTC,25.6,0,0,0,2,30,NA,NA,1,4,1,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",4,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,Los Santos,2021-04-06T00:00:00Z,1727,San José,Dota,Santa María,10:45:00 UTC,25.6,0,0,0,2,30,NA,NA,1,4,1,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1,Polylectic,Social,soil cavities,1,1,1,1,1,"All provinces, except Heredia",All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Los Santos,2021-03-31T00:00:00Z,1428,San José,Tarrazú,San Lorenzo,08:30:00 UTC,26.4,0.6,0,0,1,45,2.415,2.415,3,2,0,Hymenoptera,Apidae,Centridini,Epicharis,unknown,EPISPP,Unknown,1,Polylectic,Solitary,soil galleries,0,1,0,0,0,"San José, Puntarenas,Heredia, Guanacaste","San José, Puntarenas,Heredia, Guanacaste","All provinces, except Cartago",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
3,Los Santos,2021-03-31T00:00:00Z,1428,San José,Tarrazú,San Lorenzo,08:30:00 UTC,26.4,0.6,0,0,1,45,2.415,2.415,3,2,0,Hymenoptera,Apidae,Meliponini,Paratrigona,ornaticeps,PARORN,Limoncito,1,Polylectic,Social,cavities,1,1,0,0,0,"Cartago, Limón, Puntarenas, San José","All provinces, except Heredia","Puntarenas, Cartago, Limón, San José, Guanacaste",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1
3,Los Santos,2021-03-31T00:00:00Z,1428,San José,Tarrazú,San Lorenzo,08:30:00 UTC,26.4,0.6,0,0,1,45,2.415,2.415,3,2,0,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",4,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,Los Santos,2021-03-31T00:00:00Z,1428,San José,Tarrazú,San Lorenzo,08:30:00 UTC,26.4,0.6,0,0,1,45,2.415,2.415,3,2,0,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",4,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,Los Santos,2021-03-29T00:00:00Z,1497,San José,Tarrazú,San Marcos,11:10:00 UTC,28.6,1.8,0,0,1,95,10.2,2.5,3,0,0,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",2,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,Los Santos,2021-03-29T00:00:00Z,1364,San José,Tarrazú,San Lorenzo,15:20:00 UTC,26.4,1.1,0,0,2,80,1.38,1.38,3,1,0,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",12,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,Los Santos,2021-03-31T00:00:00Z,1722,San José,Tarrazú,San Marcos,12:25:00 UTC,23.3,0.8,0,0,2,60,NA,NA,2,1,0,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",7,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,Los Santos,2021-03-31T00:00:00Z,1722,San José,Tarrazú,San Marcos,12:25:00 UTC,23.3,0.8,0,0,2,60,NA,NA,2,1,0,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1,Polylectic,Social,soil cavities,1,1,1,1,1,"All provinces, except Heredia",All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,Los Santos,2021-04-02T00:00:00Z,1542,San José,Desamparados,Frailes,09:56:00 UTC,22.4,2.4,0,0,2,60,3,3,2,1,1,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",6,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,Los Santos,2021-04-06T00:00:00Z,2046,San José,Dota,Santa María,08:15:00 UTC,20.1,0,0,0,2,60,20,20,2,4,0,Hymenoptera,Apidae,Bombini,Bombus,ephippiatus,BOMEPH,Chiquizá,1,Polylectic,Social / Primitive social,soil cavities,0,1,1,0,0,No record was found,"Cartago, San José, Alajuela, Heredia, Puntarenas",All provinces,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,Los Santos,2021-04-06T00:00:00Z,2046,San José,Dota,Santa María,08:15:00 UTC,20.1,0,0,0,2,60,20,20,2,4,0,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",8,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,Los Santos,2021-04-06T00:00:00Z,2046,San José,Dota,Santa María,08:15:00 UTC,20.1,0,0,0,2,60,20,20,2,4,0,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",6,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,Los Santos,2021-04-06T00:00:00Z,2046,San José,Dota,Santa María,08:15:00 UTC,20.1,0,0,0,2,60,20,20,2,4,0,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1,Polylectic,Social,soil cavities,1,1,1,1,1,"All provinces, except Heredia",All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,Los Santos,2021-03-30T00:00:00Z,1588,San José,Dota,Santa María,08:31:00 UTC,25.2,3.3,0,0,2,65,3,3,2,0,1,Hymenoptera,Apidae,Meliponini,Melipona,costaricensis,MELCOS,"Jicote barcino, ocular",3,Polylectic,Social,cavities,1,1,0,1,0,"Guanacaste, Heredia, San José, Limón, Puntarenas","Cartago, Limón, Puntarenas, San José, Guanacaste","Puntarenas, Guanacaste, Heredia",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1
9,Los Santos,2021-03-30T00:00:00Z,1588,San José,Dota,Santa María,08:31:00 UTC,25.2,3.3,0,0,2,65,3,3,2,0,1,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",5,Polylectic,Social,cavities,1,1,1,1,1,"All provinces, except Guanacaste",All provinces,No record was found,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
9,Los Santos,2021-03-30T00:00:00Z,1588,San José,Dota,Santa María,08:31:00 UTC,25.2,3.3,0,0,2,65,3,3,2,0,1,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",26,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,Los Santos,2021-03-30T00:00:00Z,1588,San José,Dota,Santa María,08:31:00 UTC,25.2,3.3,0,0,2,65,3,3,2,0,1,Hymenoptera,Apidae,Xylocopini,Xylocopa,unknown,XYLSPP,"Chiquizá, carpintera",1,Polylectic,Primitive social,wood galleries,1,1,1,1,0,"Guanacaste, San José",All provinces,All provinces,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,Los Santos,2021-03-29T00:00:00Z,1430,San José,Tarrazú,San Lorenzo,13:12:00 UTC,28.3,1.2,0,0,2,65,0.8,0.8,3,0,0,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1,Polylectic,Social,exposed nests,1,1,1,1,1,All provinces,All provinces,All provinces,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
